,ret,vola,sharpe,xesc,xspx,phau,csbgu7,csbgu3,ibtm,em13,em35,em57,em710,em1015,em15
723,0.04721670702388461,0.0692080265101255,0.5377513115251106,0.24268517087206512,,0.18052016401528984,,0.13470303486657584,0.44209163024606923,,,,,,
933,0.04207501802321983,0.07108459818915858,0.45122317408149504,0.1767245281186581,,0.2783465144809815,,0.48096742783422186,,0.06396152956613856,,,,,
889,0.02764441993973278,0.030512411488337,0.5782702539416508,0.032810136069359876,,0.07782470492937164,,0.21204911495538065,,,0.6773160440458879,,,,
817,0.036431149834682076,0.03322058420077537,0.7956256781921724,0.038922422054390685,,0.05353058036011685,,0.08785701822162557,,,,0.8196899793638669,,,
723,0.04552542920182957,0.04227864668588534,0.8402688351349165,0.0747862397305036,,0.08419962972665922,,0.1417878462138583,,,,,0.6992262843289789,,
257,0.050215309331986105,0.050252145634905016,0.8002704924116245,0.010359120632724223,,0.06786529457205498,,0.25555457643211044,,,,,,0.6662210083631104,
727,0.06171485830335198,0.06112299207280085,0.846078644869949,0.11270349508715753,,0.0970467211641785,,0.2540438357692893,,,,,,,0.5362059479793747
247,0.04992798498031059,0.08405178110209545,0.47504031986914275,0.3950118084963456,,0.20671492404137554,,,0.39543247121756464,0.0028407962447141925,,,,,
973,0.03485752015084452,0.04245831673960607,0.585457033148393,0.18832316438492266,,0.04854148757137774,,,0.17522561215484014,,0.5879097358888595,,,,
485,0.03959017211895076,0.03713330157801419,0.7968634853753603,0.10078772926374788,,0.04658924113720603,,,0.1296309668586569,,,0.7229920627403892,,,
238,0.048616397426852184,0.04575118500754928,0.8440523982161379,0.13152210513311433,,0.015883741213433476,,,0.1453777279257467,,,,0.7072164257277054,,
178,0.05708455899849953,0.056077826323253956,0.8396288174061204,0.09304801231693693,,0.02320337830844548,,,0.08297765723549066,,,,,0.800770952139127,
209,0.0760549322662248,0.07716744454072681,0.8559948130893833,0.1661779334012069,,0.019976756189218237,,,0.02317199882335783,,,,,,0.790673311586217
546,0.02533494856641372,0.025439847956176043,0.60279246137125,0.03840026599174121,,0.053292765174968525,,,,0.03204840573112224,0.8762585631021679,,,,
