,isin,nome,ticker,benchmark,ter,areaBenchmark,emittente,strumento,dataSource,startDate,endDate,volAvg
163,DE000A0H0728,ISHARES DIVERS COMMODITY SWAP UCITS ETF,EXXY.MI,BLOOMBERG COMMODITY INDEX,0.0047,COMMODITIES,ISHARES,ETF,EXXY.MI,2008-02-26,2019-04-04,7930
165,FR0007056841,LYXOR DJ INDUST AVERAGE UCITS ETF - DIST,DJE.MI,DOW JONES INDUSTRIAL AVG TRN,0.005,AZIONARIO NORD AMERICA,LYXOR,ETF,DJE.MI,2004-05-11,2019-04-04,558
168,IE00BYQCZC44,WISDOMTREE GERMANY EQ UCITS ETF EUR ACC,DXGY.MI,WISDOMTREE GERMANY EQUITY INDEX,0.0032,AZIONARIO EUROPA - AREA,WISDOMTREE,ETF,IE00BYQCZC44,2016-05-24,2019-04-04,462
172,IE00BRKWGL70,INVESCO S&P 500 UCITS ETF EUR HDG ACC,E500.MI,S&P 500 EURO HEDGED TRN,0.0005,AZIONARIO NORD AMERICA,INVESCO,ETF,E500.MI,2018-09-17,2019-04-04,910
173,LU0136234068,UBS EURO STOXX 50 UCITS ETF A-DIS,E50EUA.MI,EURO STOXX 50,0.0015,AZIONARIO EUROPA - AREA,UBS ETF,ETF,E50EUA.MI,2010-07-21,2019-04-04,8735
180,LU0950381748,BNPP EASY FTSE EPRA EUROZONE UCITS ETF,EEA.MI,FTSE EPRA/NAREIT EUROZONE CAPPED (NTR) INDEX,0.005,REAL ESTATE,BNP PARIBAS,ETF,LU0950381748,2017-06-21,2019-04-04,1492
181,IE00BQZJBX31,WISDOMTREE EUROPE EQ INCOM UCITS ETF DIS,EEI.MI,WISDOMTREE EUROPE EQUITY INCOME INDEX,0.0029,AZIONARIO EUROPA - AREA,WISDOMTREE,ETF,IE00BQZJBX31,2015-01-26,2019-04-04,2131
182,IE00BDF16007,WISDOMTREE EUROPE EQ INCOM UCITS ETF ACC,EEIA.MI,WISDOMTREE EUROPE EQUITY INCOME INDEX,0.0029,AZIONARIO EUROPA - AREA,WISDOMTREE,ETF,IE00BDF16007,2016-11-22,2019-04-04,534
188,IE00BMW3NY56,INVESCO GS EQUITY FAC EUROPE UCITS ETF,EFIE.MI,GOLDMAN SACHS EQUITY FACTOR INDEX EUROPE TRN,0.0045,AZIONARIO EUROPA - AREA,INVESCO,ETF,IE00BMW3NY56,2016-03-04,2019-04-04,24
190,IE00BFG1RG61,INVESCO GS EQUITY FAC WORLD UCITS ETF,EFIW.MI,GOLDMAN SACHS EQUITY FACTOR INDEX WORLD TRN,0.0055,AZIONARIO MONDO,INVESCO,ETF,EFIW.MI,2014-09-05,2019-04-04,429
192,LU1437018598,AMUNDI JP MORGAN EMU GOV IG UCITS ETF DR,EGOV.MI,JP MORGAN EMU GBI INVESTMENT GRADE,0.0014,TITOLI DI STATO - EURO,AMUNDI,ETF,LU1437018598,2017-04-05,2019-04-04,1897
199,IE00BFTWP510,SPDR EURO STOXX LOW VOLATILITY UCITS ETF,ELOW.MI,EURO STOXX LOW RISK WEIGHTED 100 TRN,0.003,AZIONARIO EUROPA - AREA,SPDR,ETF,IE00BFTWP510,2014-12-10,2019-04-04,1981
200,LU1650489385,LYXOR EMTS 10-15Y IG DR UCITS ETF ACC,EM1015.MI,FTSE MTS EUROZONE GOV BOND IG 10-15 Y MIDP,0.00165,TITOLI DI STATO - EURO,LYXOR,ETF,EM1015.MI,2004-07-07,2019-04-04,437
201,LU1650487413,LYXOR EMTS 1-3Y INV GR DR UCITS ETF ACC,EM13.MI,FTSE MTS EUROZONE GOV BOND IG 1-3 Y MIDP,0.00165,TITOLI DI STATO - EURO,LYXOR,ETF,EM13.MI,2006-02-09,2019-04-04,16791
202,LU1287023268,LYXOR EMTS 15+Y INV GR DR UCITS ETF ACC,EM15.MI,FTSE MTS MID PRICE INVG EX-CNO ETRIX 15+ TR,0.00165,TITOLI DI STATO - EURO,LYXOR,ETF,EM15.MI,2007-10-25,2019-04-04,7155
203,LU1650488494,LYXOR EMTS 3-5Y INV GR DR UCITS ETF ACC,EM35.MI,FTSE MTS EUROZONE GOV BOND IG 3-5 Y MIDP,0.00165,TITOLI DI STATO - EURO,LYXOR,ETF,EM35.MI,2004-07-07,2019-04-04,22395
204,LU1287023003,LYXOR EMTS 5-7Y INV GR DR UCITS ETF ACC,EM57.MI,FTSE MTS MID PRICE INVG EX-CNO ETRIX 5-7 TR,0.00165,TITOLI DI STATO - EURO,LYXOR,ETF,EM57.MI,2007-05-15,2019-04-04,4636
205,LU1287023185,LYXOR EMTS 7-10Y INV GR DR UCITS ETF ACC,EM710.MI,FTSE MTS MID PRICE INVG EX-CNO ETRIX 7-10 TR,0.00165,TITOLI DI STATO - EURO,LYXOR,ETF,EM710.MI,2007-05-15,2019-04-04,3688
206,LU1287023342,LYXOR EMTS HI R MW GOV DR UCITS ETF ACC,EMAAA.MI,FTSE MTS MID PR HIGH RATED MACRO-WEIGHT ALL MAT TR,0.00165,TITOLI DI STATO - EURO,LYXOR,ETF,EMAAA.MI,2010-02-02,2019-04-04,3216
212,LU1650490474,LYXOR EMTS ALL-MAT IN G DR UCITS ETF ACC,EMG.MI,FTSE MTS EUROZONE GOV BOND IG MIDP,0.00165,TITOLI DI STATO - EURO,LYXOR,ETF,EMG.MI,2004-05-11,2019-04-04,36791
229,LU1646360971,LYXOR CORE MSCI EMU DR UCITS ETF DIST,EMU.MI,MSCI EMU TRN,0.0012,AZIONARIO EUROPA - AREA,LYXOR,ETF,EMU.MI,2008-10-09,2019-04-04,89821
230,LU0950668870,UBS MSCI EMU UCITS ETF (EUR) A-ACC,EMUAA.MI,MSCI EMU INDEX NR,0.0018,AZIONARIO EUROPA - AREA,UBS ETF,ETF,EMUAA.MI,2018-04-27,2019-04-04,130144
231,LU0147308422,UBS MSCI EMU UCITS ETF A-DIS,EMUEUA.MI,MSCI EMU PRICE INDEX,0.0018,AZIONARIO EUROPA - AREA,UBS ETF,ETF,EMUEUA.MI,2010-11-11,2019-04-04,45336
232,IE00BCLWRF22,ISHARES MSCI EMU LARGE CAP UCITS ETF ACC,EMUL.MI,MSCI EMU LARGE CAP TRN,0.0049,AZIONARIO EUROPA - AREA,ISHARES,ETF,IE00BCLWRF22,2014-07-24,2019-04-04,282
240,LU1437018838,AMUNDI FTSE EPRA NAREIT GLO UCITS ETF DR,EPRA.MI,FTSE EPRA/NAREIT DEV EU NTR,0.0024,REAL ESTATE,AMUNDI,ETF,LU1437018838,2017-04-05,2019-04-04,222
243,IE00BYVTMS52,INVESCO EQQQ NASDAQ-100 UCITS ETF EUR H,EQEU.MI,NASDAQ 100,0.0035,AZIONARIO NORD AMERICA,INVESCO,ETF,EQEU.MI,2018-09-17,2019-04-04,389
245,IE0032077012,INVESCO EQQQ NASDAQ-100 UCITS ETF,EQQQ.MI,NASDAQ 100,0.002,AZIONARIO NORD AMERICA,INVESCO,ETF,EQQQ.MI,2003-06-26,2019-04-04,13192
248,IE00BKWQ0Q14,SPDR MSCI EUROP UCITS ETF,EROX.MI,MSCI TRN EUROPE INDEX,0.0025,AZIONARIO EUROPA - AREA,SPDR,ETF,IE00BKWQ0Q14,2014-12-10,2019-04-04,881
266,IE00BS7K8821,SPDR BL BAR 3-5Y EURO GOVT UCITS ETF,EU35.MI,BARCLAYS 3-5 YEAR EURO TREASURY BOND INDEX,0.0015,TITOLI DI STATO - EURO,SPDR,ETF,IE00BS7K8821,2017-01-24,2019-04-04,0
267,IE00BYSZ5Z42,SPDR BARCL 7-10 Y EURO GOVT UCITS ETF,EU7L.MI,BARCLAYS EURO 7-10 YEAR TREASURY BOND INDEX,0.0015,TITOLI DI STATO - EURO,SPDR,ETF,IE00BYSZ5Z42,2017-01-24,2019-04-04,290
272,IE0008471009,ISHARESCOREEUROSTOXX50€(DIST) UCITS ETF,EUE.MI,EURO STOXX 50,0.001,AZIONARIO EUROPA - AREA,ISHARES,ETF,EUE.MI,2004-05-11,2019-04-04,210877
273,LU1600334798,UBS ETF MSCI EUROPE EUR HEDGED UCITS ETF,EUEUA.MI,MSCI EUROPE 100% HEDGED TO EUR TRN,0.003,AZIONARIO EUROPA - AREA,UBS ETF,ETF,LU1600334798,2017-07-11,2019-04-04,1689
277,LU0599612842,OSSIAM ISTXX EUROPE MIN VAR NR UCITS ETF,EUMV.MI,ISTOXX EUROPE MINIMUM VARIANCE NTR,0.0065,AZIONARIO EUROPA - AREA,OSSIAM,ETF,EUMV.MI,2011-07-01,2019-04-04,354
278,IE0008470928,ISHARES STOXX EUROPE 50 UCITS ETF DIST,EUN.MI,STOXX EUROPE 50,0.0035,AZIONARIO EUROPA - AREA,ISHARES,ETF,EUN.MI,2004-05-11,2019-04-04,11776
280,LU0446734104,UBS MSCI EUROPE UCITS ETF A-DIS,EUREUA.MI,MSCI EUROPE,0.002,AZIONARIO EUROPA - AREA,UBS ETF,ETF,EUREUA.MI,2010-07-26,2019-04-04,596
281,IE00B910VR50,SPDR MSCI EMU UCITS ETF,EURO.MI,MSCI EMU TRN,0.0018,AZIONARIO EUROPA - AREA,SPDR,ETF,IE00B910VR50,2013-05-02,2019-04-04,11479
286,DE000A0Q4RZ9,ISHARES EB.REXX GOV.GER. 0-1YR UCITS ETF,EXVM.MI,EB.REXX GOVERNMENT GERMANY 0-1,0.00126,TITOLI DI STATO - EURO,ISHARES,ETF,EXVM.MI,2009-05-27,2019-04-04,1181
316,LU1437016204,AMUNDI JP MORGAN GBI GL GOV UCITS ETF DR,GGOV.MI,JPMORGAN GOVERNMENT BOND INDEX GLOBAL,0.002,TITOLI DI STATO - MONDO,AMUNDI,ETF,LU1437016204,2017-04-05,2019-04-04,3763
322,IE00B8GF1M35,SPDR DJ GLOBAL REAL ESTATE UCITS ETF,GLRE.MI,DJ GLOBAL SELECT REAL ESTATE SECURITIES TRN,0.004,REAL ESTATE,SPDR,ETF,IE00B8GF1M35,2013-05-02,2019-04-04,2837
325,IE00BD49RJ15,WISDOMTREE EUR GOV ENHAN UCITS ETF EUR,GOVE.MI,BARCLAYS EURO TREASURY ENHANCED YIELD BOND,0.0016,TITOLI DI STATO - EURO,WISDOMTREE,ETF,GOVE.MI,2018-07-23,2019-04-04,0
326,IE00B6YX5F63,SPDR BARCL 1-3 Y EUR GOV BOND UCITS ETF,GOVS.MI,BARCLAYS CAPITAL 1-3 YEAR EURO TREASURY BOND TR,0.0015,TITOLI DI STATO - EURO,SPDR,ETF,GOVS.MI,2012-04-12,2019-04-04,6734
327,IE00B3S5XW04,SPDR BARCL EUR GOVT BOND UCITS ETF,GOVY.MI,BARCLAYS EURO TREASURY BOND TR,0.0015,TITOLI DI STATO - EURO,SPDR,ETF,GOVY.MI,2012-04-12,2019-04-04,2762
329,LU0721553351,UBS IBX EUR GERMANY 1-3 UCITS ETF A-DIS,GS1EUA.MI,MARKIT IBOXX EUR GERMANY 1-3 TR,0.0017,TITOLI DI STATO - EURO,UBS ETF,ETF,LU0721553351,2013-01-14,2019-04-04,44
331,IE00B4K6B022,HSBC EURO STOXX 50 UCITS ETF,H50E.MI,EURO STOXX 50 TRN,0.0005,AZIONARIO EUROPA - AREA,HSBC,ETF,IE00B4K6B022,2017-07-31,2019-04-04,1936
336,IE00BVXBH163,WISDOMTREE EUR EQUITY UCITS ETF USD HEDG,HEDJ.MI,WISDOMTREE EUROPE HEDGED EQUITY TRN,0.0058,AZIONARIO EUROPA - AREA,WISDOMTREE,ETF,IE00BVXBH163,2015-05-21,2019-04-04,497
351,IE00B4X9L533,HSBC MSCI WORLD UCITS ETF,HMWD.MI,MSCI TRN WORLD INDEX,0.0015,AZIONARIO MONDO,HSBC,ETF,IE00B4X9L533,2017-07-31,2019-04-04,22937
357,IE00B5KQNG97,HSBC S&P 500 UCITS ETF,HSPD.MI,S&P 500 TRN USD,0.0009,AZIONARIO NORD AMERICA,HSBC,ETF,IE00B5KQNG97,2017-07-31,2019-04-04,5147
368,IE00B1FZS244,ISHARES ASIA PROPERTY YLD UCITS ETF DIST,IASP.MI,FTSE EPRA/NAREIT DEV ASIA DIVIDEND + INDEX TR,0.0059,REAL ESTATE,ISHARES,ETF,IASP.MI,2007-03-20,2019-04-04,6902
371,IE00B1FZS913,ISHARES EU GOVT 15-30YR UCITS ETF DIST,IBGL.MI,BARCLAYS EURO GOV BOND 30 YEAR TERM,0.002,TITOLI DI STATO - EURO,ISHARES,ETF,IBGL.MI,2007-03-20,2019-04-04,1538
372,IE00B1FZS806,ISHARES EU GOVT 7-10YR UCITS ETF DIST,IBGM.MI,BARCLAYS EURO GOV BOND 10 YEAR TERM,0.002,TITOLI DI STATO - EURO,ISHARES,ETF,IBGM.MI,2007-03-20,2019-04-04,8904
