,isin,nome,ticker,benchmark,ter,areaBenchmark,emittente,strumento,dataSource
55,FR0010652867,LYXOR MSCI AC ASIA EX JPN UCITS ETF ACC,APEX.MI,MSCI AC ASIA EX JAPAN TRN INDEX,0.005,AZIONARIO EMERGENTI - ASIA,LYXOR,ETF,APEX.MI
56,IE0005042456,ISHARES CORE FTSE 100 UCITS ETF DIST,ISF.MI,FTSE 100,0.0007,AZIONARIO EUROPA - SINGOLI PAESI,ISHARES,ETF,ISF.MI
57,IE0008470928,ISHARES STOXX EUROPE 50 UCITS ETF DIST,EUN.MI,STOXX EUROPE 50,0.0035,AZIONARIO EUROPA - AREA,ISHARES,ETF,EUN.MI
58,IE0008471009,ISHARESCOREEUROSTOXX50€(DIST) UCITS ETF,EUE.MI,EURO STOXX 50,0.001,AZIONARIO EUROPA - AREA,ISHARES,ETF,EUE.MI
59,IE0031442068,ISHARESCORES&P500$(DIST) UCITS ETF,IUSA.MI,S&P 500,0.0007,AZIONARIO NORD AMERICA,ISHARES,ETF,IUSA.MI
60,IE0032077012,INVESCO EQQQ NASDAQ-100 UCITS ETF,EQQQ.MI,NASDAQ 100,0.002,AZIONARIO NORD AMERICA,INVESCO,ETF,EQQQ.MI
61,IE0032523478,ISHARES CORP BOND LAR CAP UCITS ETF DIST,IBCX.MI,MARKIT IBOXX EURO LIQUID CORPORATE LARGE CAP TR,0.002,OBBLIGAZIONARIO CORPORATE - EURO,ISHARES,ETF,IBCX.MI
62,IE0032895942,ISHARES $ CORP BOND UCITS ETF USD DIST,LQDE.MI,MARKIT IBOXX USD LIQUID INVESTMENT GRADE TR,0.002,OBBLIGAZIONARIO CORPORATE - NON EURO,ISHARES,ETF,LQDE.MI
63,IE00B02KXH56,ISHARES MSCI JAPAN UCITS ETF USD DIST,IJPN.MI,MSCI JAPAN,0.0059,AZIONARIO PACIFICO,ISHARES,ETF,IJPN.MI
64,IE00B02KXK85,ISHARES CHINA LARGE CAP UCITS ETF DIST,FXC.MI,FTSE CHINA 50,0.0074,AZIONARIO EMERGENTI - ASIA,ISHARES,ETF,FXC.MI
65,IE00B02KXL92,ISHARES EURO STOXX MID UCITS ETF DIST,DJMC.MI,EURO STOXX MID,0.004,AZIONARIO STYLE (SVILUPPATI),ISHARES,ETF,DJMC.MI
66,IE00B02KXM00,ISHARES EURO STOXX SMALL UCITS ETF DIST,DJSC.MI,EURO STOXX SMALL,0.004,AZIONARIO STYLE (SVILUPPATI),ISHARES,ETF,DJSC.MI
67,IE00B0M62Q58,ISHARES MSCI WORLD UCITS ETF USD DIST,IWRD.MI,MSCI WORLD INDEX,0.005,AZIONARIO MONDO,ISHARES,ETF,IWRD.MI
68,IE00B0M62S72,ISHARES EURO DIVIDEND UCITS ETF EUR DIST,IDVY.MI,EURO STOXX SELECT DIVIDEND 30 INDEX,0.004,AZIONARIO STYLE (SVILUPPATI),ISHARES,ETF,IDVY.MI
69,IE00B0M62X26,ISHARES INFL LINKED GOVT UCITS ETF ACC,IBCI.MI,BLOOMBERG BARCLAYS EURO GOV INFLATION-LINKED BOND,0.0025,INFLAZIONE,ISHARES,ETF,IBCI.MI
70,IE00B0M63060,ISHARES UK DIVIDEND UCITS ETF DIST,IUKD.MI,FTSE UK DIVIDEND PLUS INDEX,0.004,AZIONARIO STYLE (SVILUPPATI),ISHARES,ETF,IUKD.MI
71,IE00B0M63177,ISHARES MSCI EM UCITS ETF DIST,IEEM.MI,MSCI EMERGING MARKETS INDEX,0.0075,AZIONARIO EMERGENTI - MONDO,ISHARES,ETF,IEEM.MI
72,IE00B0M63284,ISHARES EURO PROP YIELD UCITS ETF DIST,IPRP.MI,FTSE EPRA/NAREIT DEV EUROPE EX UK DIV + INDEX TR,0.004,REAL ESTATE,ISHARES,ETF,IPRP.MI
73,IE00B0M63391,ISHARES MSCI KOREA UCITS ETF USD DIST,IKOR.MI,MSCI KOREA INDEX,0.0074,AZIONARIO EMERGENTI - ASIA,ISHARES,ETF,IKOR.MI
74,IE00B0M63516,ISHARES MSCI BRAZIL UCITS ETF DIST,IBZL.MI,MSCI BRAZIL INDEX,0.0074,AZIONARIO EMERGENTI - CENTRO/SUD AMERICA,ISHARES,ETF,IBZL.MI
75,IE00B0M63623,ISHARES MSCI TAIWAN UCITS ETF USD DIST,ITWN.MI,MSCI TAIWAN,0.0074,AZIONARIO EMERGENTI - ASIA,ISHARES,ETF,ITWN.MI
76,IE00B0M63730,ISHARES MSCI AC FARE EX-J UCITS ETF DIST,IFFF.MI,MSCI AC FAR EAST EX-JAPAN INDEX,0.0074,AZIONARIO EMERGENTI - ASIA,ISHARES,ETF,IFFF.MI
77,IE00B14X4M10,ISHARES MSCI NORTH AMER UCITS ETF DIST,INAA.MI,MSCI NORTH AMERICA,0.004,AZIONARIO NORD AMERICA,ISHARES,ETF,INAA.MI
78,IE00B14X4N27,ISHARES MSCI EURO EX-UK UCITS ETF DIST,IEUX.MI,MSCI EUROPE EX-UK,0.004,AZIONARIO EUROPA - AREA,ISHARES,ETF,IEUX.MI
79,IE00B14X4Q57,ISHARES GOVT BOND 1-3YR UCITS ETF DIST,IBGS.MI,BARCLAYS EURO GOV BOND 1-3 YEAR TERM,0.002,TITOLI DI STATO - EURO,ISHARES,ETF,IBGS.MI
80,IE00B14X4S71,ISHARES $ TREASURY 1-3YR UCITS ETF DIST,IBTS.MI,BARCLAYS US TREASURY 1-3 YEAR TERM,0.002,TITOLI DI STATO - NON EURO,ISHARES,ETF,IBTS.MI
81,IE00B14X4T88,ISHARES ASIA PACIF DIVID UCITS ETF DIST,IAPD.MI,DOW JONES ASIA/PACIFIC SELECT DIVIDEND 30,0.0059,AZIONARIO STYLE (SVILUPPATI),ISHARES,ETF,IAPD.MI
82,IE00B1FZS244,ISHARES ASIA PROPERTY YLD UCITS ETF DIST,IASP.MI,FTSE EPRA/NAREIT DEV ASIA DIVIDEND + INDEX TR,0.0059,REAL ESTATE,ISHARES,ETF,IASP.MI
83,IE00B1FZS350,ISHARES DEV MKT PROP YLD UCITS ETF DIST,IWDP.MI,FTSE EPRA/NAREIT DEVELOPED DIVIDEND + INDEX TR,0.0059,REAL ESTATE,ISHARES,ETF,IWDP.MI
84,IE00B1FZS467,ISHARES GLOBAL INFRASTR UCITS ETF DIST,INFR.MI,FTSE GLOBAL CORE INFRASTRUCTURE,0.0065,AZIONARIO TEMATICI,ISHARES,ETF,INFR.MI
85,IE00B1FZS574,ISHARES MSCI TURKEY UCITS ETF USD DIST,ITKY.MI,MSCI TURKEY SM INDEX,0.0074,AZIONARIO EMERGENTI - EST EUROPA,ISHARES,ETF,ITKY.MI
86,IE00B1FZS681,ISHARES EURO GOVT BOND 3-5YR UCITS ETF,IBGX.MI,BARCLAYS EURO GOV BOND 5 YEAR TERM,0.002,TITOLI DI STATO - EURO,ISHARES,ETF,IBGX.MI
87,IE00B1FZS798,ISHARES $ TREASURY 7-10YR UCITS ETF DIST,IBTM.MI,BARCLAYS US TREASURY 10 YEAR TERM,0.002,TITOLI DI STATO - NON EURO,ISHARES,ETF,IBTM.MI
88,IE00B1FZS806,ISHARES EU GOVT 7-10YR UCITS ETF DIST,IBGM.MI,BARCLAYS EURO GOV BOND 10 YEAR TERM,0.002,TITOLI DI STATO - EURO,ISHARES,ETF,IBGM.MI
